"","Sample","input","filtered","denoisedF","denoisedR","merged","nonchim"
"159","HD4371-S112_7",84357,62785,58063,57958,48906,47800
"160","HD4371-S12",44859,32985,30686,30798,26007,25720
"161","HD4371-S13",42677,31999,29133,29080,23587,23258
"162","HD4371-S14",35177,26124,23906,23920,19704,19426
"163","HD4371-S15",35196,27572,24860,24675,18918,18806
"164","HD4371-S16",36307,28666,26320,26276,21752,21399
"165","HD4371-S17",56223,41075,37068,36691,28819,28527
"166","HD4371-S18",71139,52817,48279,48204,39036,38448
"167","HD4371-S19",30155,23595,21852,21634,18209,17973
"168","HD4371-S2",71172,52691,48691,48761,41269,39981
"169","HD4371-S20",32787,25251,22650,22581,17772,17640
"170","HD4371-S3",43154,34918,32770,32565,28757,27071
"171","HD4371-S4",43571,32037,29134,29090,22928,22873
"172","HD4371-S5",46447,34657,31804,31724,26412,25687
"173","HD4371-S6",39648,28704,26943,26869,23355,22114
"174","HD4371-S7",39176,28507,26300,26223,21962,21506
"175","HD4371-S8",43372,32413,30058,29777,25548,25095
"176","HD4371-S9",64901,49711,45647,45558,37438,36450
"177","HD4372-S1",50926,38794,36329,36349,31542,30636
"178","HD4373-S1",43407,32803,30766,30686,26728,25832
"179","HD4374-S1",49448,36128,33636,33486,28807,28179
"180","HD4375-S1",29960,23277,21308,21112,17311,17144
"181","HD4376-S1",41261,30655,28692,28675,25031,24878
"182","HD4377-S1",44439,33150,31228,31196,27901,27077
"183","HD4378-S1",58605,43388,39437,39385,32046,31723
"184","HD4379-S10",29138,21117,19372,19244,16238,16054
"185","HD4379-S11",19240,13866,12231,12202,8997,8880
"186","HD4379-S112_13",48662,36505,33213,33116,26972,26544
"187","HD4379-S112_2",47802,34976,32347,32231,26216,26182
"188","HD4379-S12",25633,19092,17270,17218,13556,13479
"189","HD4379-S13",23627,17552,15892,15733,12547,12441
"190","HD4379-S14",27352,20643,18859,18626,14995,14899
"191","HD4379-S15",29034,22024,19879,19584,15729,15591
"192","HD4379-S16",59770,44230,40529,40331,33247,32022
"193","HD4379-S17",53365,40109,36642,36775,30228,29699
"194","HD4379-S18",32568,27645,25105,25124,20731,20510
"195","HD4379-S19",50367,37309,33982,33875,27566,27445
"196","HD4379-S2",31872,23416,21531,21443,17837,17358
"197","HD4379-S20",26986,20481,19101,19093,16103,15929
"198","HD4379-S3",27745,20599,18420,18320,13823,13636
"199","HD4379-S4",32998,24629,22297,22449,18501,18263
"200","HD4379-S5",29709,21833,20154,20295,16879,16738
"201","HD4379-S6",25524,18934,17002,17008,13555,13540
"202","HD4379-S7",32833,24226,22453,22272,19057,18700
"203","HD4379-S8",43331,32520,30049,29865,24870,23648
"204","HD4379-S9",41225,30878,27357,27314,20620,20201
"205","HD4380-S1",36361,27748,25642,25507,21043,20844
"206","HD4381-S1",41652,29544,27754,27854,24345,23650
"207","HD4382-S1",37720,27433,25140,25092,20460,20139
"208","HD4383-S1",37403,28087,25574,25321,20406,20280
"209","HD4384-S1",38327,28101,25500,25455,20426,20295
