input	filtered	denoisedF	denoisedR	merged	nonchim
HD4336-S17_S176	92924	79670	78958	78804	77840	77800
HD4336-S18_S177	92681	72189	71226	71083	69316	69316
HD4336-S19_S178	107784	96138	95506	95478	94655	94523
HD4336-S2_S161	77284	64410	63936	63926	62984	62980
HD4336-S20_S179	71590	65254	64674	64483	63823	63707
HD4336-S3_S162	101788	91945	91319	91261	90856	90757
HD4336-S4_S163	78104	70186	69687	69559	68957	68929
HD4336-S5_S164	42954	39174	38735	38629	38171	38158
HD4336-S6_S165	50058	40463	39955	39911	39639	39605
HD4336-S7_S166	127263	112683	111862	111750	111079	110894
HD4336-S8_S167	111215	81431	80339	80533	78480	78475
HD4336-S9_S168	91581	76626	76019	75935	74852	74849
HD4337-S1_S36	59858	47280	46618	46605	45856	45832
HD4338-S1_S37	59770	48838	48018	47784	46921	46919
HD4339-S1_S38	32499	26376	25864	25725	25069	25062
HD4340-S1_S39	113991	94762	93612	93400	91848	91769
HD4341-S1_S40	60931	50277	49120	48825	47764	47762
HD4342-S1_S41	47092	31881	30543	30424	29172	29170
HD4343-S1_S42	91649	71847	71205	71037	70310	70198
HD4344-S1_S43	93843	79157	77411	77934	76174	76032
HD4345-S1_S44	75955	63145	61990	61783	60764	60760
HD4346-S1_S45	79956	66466	65624	65528	64777	64775
HD4347-S1_S46	54240	44843	44025	43895	43180	43180
HD4348-S1_S47	68854	57217	56347	56192	55269	55235
HD4349-S1_S48	69346	57429	56803	56709	56058	55866
HD4350-S1_S49	28748	19287	18927	18896	18587	18586
HD4351-S1_S50	63662	50214	49571	49612	48814	48813
HD4352-S1_S51	59268	51695	51140	51033	50624	50546
HD4353-S1_S52	46932	42684	42056	42008	41182	41180
HD4354-S1_S53	65997	56261	55708	55554	54670	54668
HD4355-S1_S54	33342	26781	26194	26155	25385	25385
HD4356-S1_S55	64287	51709	51031	50965	50456	50382
HD4357-S1_S56	41357	24699	23663	23424	22399	22368
HD4358-S1_S57	30951	25245	24743	24732	24401	24394
HD4359-S1_S58	47033	38881	38411	38386	38084	38084
HD4360-S1_S59	60380	49031	48047	47929	47171	46777
HD4361-S1_S60	57587	40964	39748	39427	37841	37825
HD4362-S1_S61	37878	28704	28056	27963	27521	27438
HD4363-S1_S62	25989	17461	16704	16697	16006	16006
HD4364-S1_S63	38459	28740	27927	27892	26866	26849
HD4365-S1_S64	41494	26085	25233	24964	23993	23993
HD4366-S1_S65	51774	37175	36126	36090	34966	34963
HD4367-S1_S66	44927	40418	39989	39902	39739	39710
HD4368-S1_S67	46090	34519	33845	33632	32892	32882
HD4369-S1_S68	38940	31110	30224	30105	29141	29135
HD4370-S1_S69	34439	29156	28511	28448	27692	27525
HD4371-S10_S109	58922	51788	51026	50995	50190	50117
HD4371-S11_S110	53114	45812	45330	45206	44923	44923
HD4371-S111_19_S70	31613	26635	26257	26208	25836	25731
HD4371-S112_7_S100	87060	77149	76481	76501	75904	75793
HD4371-S12_S111	51117	38797	38190	38043	37709	37657
HD4371-S13_S112	52778	39605	38790	38701	37779	37778
HD4371-S14_S113	67857	57604	56857	56847	55744	55732
HD4371-S15_S114	58474	48172	47091	47065	45649	45649
HD4371-S16_S115	51876	35872	35324	35258	34690	34600
HD4371-S17_S116	35168	31181	30577	30491	30073	30073
HD4371-S18_S117	37512	31218	30473	30390	29963	29959
HD4371-S19_S118	50214	41405	40870	40891	40527	39952
HD4371-S2_S101	122244	98754	97954	97961	97300	97264
HD4371-S20_S119	44202	34340	33528	33481	32834	32833
HD4371-S3_S102	54596	46925	46605	46621	46391	46328
HD4371-S4_S103	48980	38812	38103	37903	37456	37321
HD4371-S5_S104	57515	47482	46902	46812	46440	46433
HD4371-S6_S105	73482	57208	56662	56629	56147	56146
HD4371-S7_S106	57187	46227	45775	45702	45452	45450
HD4371-S8_S107	50542	40234	39622	39557	39098	39098
HD4371-S9_S108	69045	40219	39589	39547	38961	38949
HD4372-S1_S71	28115	12227	11968	11877	11754	11754
HD4373-S1_S72	32495	27442	27180	27108	26644	26644
HD4374-S1_S73	60465	45933	44931	44788	43371	43221
HD4375-S1_S74	41935	35529	34623	34603	34105	34101
HD4376-S1_S75	49954	39327	38642	38670	37756	37754
HD4377-S1_S76	31716	25108	24528	24489	23843	23780
HD4378-S1_S77	34415	31210	30695	30717	30254	30242
HD4379-S10_S149	139386	106683	106039	105916	104784	104765
HD4379-S11_S150	82206	58071	57065	56867	55555	55526
HD4379-S112_13_S140	47191	37826	36884	36849	36230	36227
HD4379-S112_2_S78	26337	18561	17850	17830	17318	17317
HD4379-S12_S151	114800	108391	107922	107768	107428	107428
HD4379-S13_S152	103068	74664	74120	73998	73339	73337
HD4379-S14_S153	89858	67558	66763	66783	65920	65915
HD4379-S15_S154	109133	91986	91296	91174	90640	90566
HD4379-S16_S155	52318	45953	45471	45352	44903	44790
HD4379-S17_S156	74705	53522	52858	52782	52020	52012
HD4379-S18_S157	62129	49224	48578	48561	48051	48045
HD4379-S19_S158	77929	65239	64561	64274	63629	63590
HD4379-S2_S141	83243	62160	61700	61521	60800	60783
HD4379-S20_S159	95576	80435	79897	79889	79195	79187
HD4379-S3_S142	52025	44459	43873	43844	43512	43512
HD4379-S4_S143	90445	85309	84849	84878	84428	84412
HD4379-S5_S144	114582	90817	90120	90058	89356	89318
HD4379-S6_S145	99401	88324	87721	87585	86961	86917
HD4379-S7_S146	83062	69309	68801	68878	68292	68291
HD4379-S8_S147	46199	36087	35565	35483	35087	35086
HD4379-S9_S148	74506	56307	55017	54787	53792	53789
HD4380-S1_S79	37228	31975	31365	31284	30906	30900
HD4381-S1_S80	27976	20413	19756	19756	18906	18901
HD4382-S1_S81	19126	14223	13489	13365	13090	13088
HD4383-S1_S82	41284	30850	29565	29552	27823	27821
HD4384-S1_S83	62956	51760	50533	50564	48704	48693
HD4385-S1_S84	25834	15489	14740	14818	14130	14130
HD4386-S1_S85	32836	29198	28690	28639	28296	28296
HD4387-S1_S86	36318	32299	31828	31821	31456	31423
HD4388-S1_S87	30501	11312	10784	10755	10225	10224
HD4389-S1_S88	28307	18773	18011	18011	17622	17609
HD4390-S1_S89	54089	40052	39415	39478	38904	38867
HD4391-S1_S90	53221	39649	38822	38611	37853	37852
HD4392-S1_S91	29947	26347	26009	25879	25567	25472
HD4393-S1_S92	17885	15139	14675	14690	14109	14101
HD4394-S1_S93	85321	75532	75166	75072	74690	74543
HD4395-S1_S94	68154	57750	57010	56887	56221	56040
HD4396-S1_S95	67523	52525	51407	51282	50022	49978
HD4397-S10_S189	55045	35781	34935	34591	33861	33861
HD4397-S11_S190	59141	48789	48189	48186	47697	47697
HD4397-S112_16_S180	47567	35552	34853	34778	34154	34153
HD4397-S112_6_S96	68530	50905	49910	49746	48756	48734
HD4397-S12_S191	72581	56564	56056	56062	55378	55328
HD4397-S13_S192	51013	36964	36399	36327	35798	35790
HD4397-S14_S193	71498	53419	52774	52685	52081	52079
HD4397-S15_S194	33405	18032	17462	17176	16782	16781
HD4397-S16_S195	31417	16618	16017	15812	15306	15301
HD4397-S17_S196	38519	28033	27711	27634	27399	27370
HD4397-S18_S197	51485	31604	30858	30796	30323	30317
HD4397-S19_S198	95463	63325	62348	62146	60779	60779
HD4397-S2_S181	56813	29473	28772	28588	27379	27378
HD4397-S20_S199	59128	41353	40769	40738	38400	38393
HD4397-S3_S182	62001	30876	30293	30168	29459	29455
HD4397-S4_S183	65325	52044	51201	51215	50566	50540
HD4397-S5_S184	82788	64861	64141	64088	63179	63007
HD4397-S6_S185	46642	33480	33077	33035	32755	32737
HD4397-S7_S186	39323	27409	26663	26628	26099	26092
HD4397-S8_S187	47912	29451	28739	28770	28109	28108
HD4397-S9_S188	47167	30392	29993	29929	29565	29564
HD4398-S1_S97	92290	69582	68606	68241	67027	67023
HD4399-S1_S98	91551	65625	64329	64295	61330	61327
NTC_S216	11	3	1	1	0	0
