input	filtered	denoisedF	denoisedR	merged	nonchim
HD4332-S1_S32	51934	51934	30593	30435	30435	30435
HD4333-S1_S33	4625	4623	261	119	117	117
HD4334-S1_S34	55140	55137	36947	36951	36920	36863
HD4335-S1_S35	73693	73609	7607	7588	7574	7574
HD4336-S1_S161	16674	16674	7722	7800	7691	7691
HD4336-S10_S170	627	627	137	124	124	124
HD4336-S11_S171	21805	21777	6478	6475	6474	6474
HD4336-S111_23_S36	21476	21475	4277	4305	2850	2850
HD4336-S12_S172	47818	47810	23506	23621	20615	20605
HD4336-S13_S173	24713	24713	2019	2016	2016	2016
HD4336-S14_S174	8132	8132	22	126	0	0
HD4336-S15_S175	27356	27356	2145	2149	1557	1557
HD4336-S16_S176	62106	62062	24740	24713	24691	24691
HD4336-S17_S177	73111	73110	27315	27286	26189	26189
HD4336-S18_S178	59221	59201	18317	18317	18317	18317
HD4336-S19_S179	24926	24920	10993	10940	7769	7769
HD4336-S2_S162	39862	39862	12290	12272	12271	12271
HD4336-S20_S180	7275	7271	439	448	432	432
HD4336-S3_S163	15843	15841	4168	4140	2918	2918
HD4336-S4_S164	3659	3659	489	402	391	391
HD4336-S5_S165	37872	37869	15920	16014	15907	15907
HD4336-S6_S166	52991	52991	14103	14108	11399	11383
HD4336-S7_S167	31137	31136	13576	13508	11321	11321
HD4336-S8_S168	80112	80108	49464	49541	31248	31225
HD4336-S9_S169	46812	46810	15740	15730	14234	14234
HD4337-S1_S37	51778	51737	10248	10247	10244	10234
HD4338-S1_S38	17292	17286	8597	8683	8596	8596
HD4339-S1_S39	73012	73003	31951	31957	25530	25530
HD4340-S1_S40	40894	40892	26843	26948	26041	23828
HD4341-S1_S41	101912	101897	56994	57160	55134	55035
HD4342-S1_S42	49529	49517	18060	18213	17443	17443
HD4343-S1_S43	104177	104177	17188	17231	16326	16326
HD4344-S1_S44	36936	36918	14897	14723	14621	14621
HD4345-S1_S45	68393	68390	41264	41301	37713	37625
HD4346-S1_S46	36573	36564	591	655	534	534
HD4347-S1_S47	99569	99564	21266	21252	21212	21212
HD4348-S1_S48	96622	96595	34968	34870	28574	28574
HD4349-S1_S49	143972	143868	80178	80144	77783	77086
HD4350-S1_S50	21653	21635	5867	5867	4999	4999
HD4351-S1_S51	17169	17167	10704	10683	8969	8969
HD4352-S1_S52	56313	56312	19029	19003	13340	13340
HD4353-S1_S53	20836	20831	5199	5177	1375	1375
