"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Fire_Mod",1,0.978781769938101,0.0241661726974721,2.11970482833019,2e-04,6e-04,6e-04,0.017
"Treatuntreat_EP",1,0.63283689767137,0.0156247758470471,1.37050716384341,0.0639,0.09585,0.1917,0.296
"YrSinceTrt_BR",3,1.4884656143211,0.036750293267321,1.07450160542577,0.2638,0.2638,0.7914,0.001
