"","YrSinceTrt_BR","Kingdom","Phylum","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1","Untreated","Stramenopila","Oomycota",838093,38,38,100
"2","1 to 2","Stramenopila","Oomycota",479363,20,20,100
"3","3 to 4","Stramenopila","Oomycota",31972,3,3,100
"4","5 to 8","Stramenopila","Oomycota",221362,7,7,100
"5","10 to 12","Stramenopila","Oomycota",194903,6,6,100
