"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV9","ASV9",733.275808164066,28.3117973767348,7.30245202512285,3.8770261385262,0.000105741002076669,0.00361537876826244,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 94"," 94"," 45"," 45"
"ASV12","ASV12",190.430444561189,-23.9674081984711,7.34974448993962,-3.26098522625893,0.00111025824855932,0.0274788916518432,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 91"," 91"," 80"," 11"
"ASV21","ASV21",616.137923618872,25.2389038614782,6.52439709378719,3.86838868000719,0.000109556932371589,0.00361537876826244,"Stramenopila","Oomycota","Oomycetes","Pythiales","Pythiaceae","Pythium","Unclassified","100","100","100"," 87"," 87"," 72"," 24"
"ASV66","ASV66",1721.07669016952,30,7.3024087865113,4.1082334442047,3.98697005979083e-05,0.00361537876826244,"Stramenopila","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","Unclassified","Unclassified","100","100","100"," 64"," 64"," 45"," 40"
