"","MDS1","MDS2"
"HD3901-S1_4401_S1",-0.48751374572093,-0.0654998834642021
"HD3902-S1_4400_S100",-0.61280739975701,-0.556236004291575
"HD4301-S1_S2",0.116884137206112,0.378099266858705
"HD4303-S1_S3",0.578060510231909,-0.26467690042483
"HD4304-S1_S4",0.488562452581497,0.765131159112586
"HD4305-S1_S5",0.66099524016388,-0.112283978644917
"HD4306-S1_S6",1.50554608260966,-0.538712392287097
"HD4307-S1_S7",0.285124915562807,0.1382934240547
"HD4308-S1_S8",0.381687680119443,-0.328979149876496
"HD4309-S1_S9",0.210187968009885,-0.109522464409496
"HD4310-S1_S10",-0.374236047653448,0.4022690662038
"HD4311-S1_S11",-0.101438063673646,0.293672196348205
"HD4312-S1_S12",0.0595534482430409,0.0819432161681978
"HD4314-S1_S14",0.15697531708032,0.0628300556704786
"HD4315-S1_S15",0.0197751182069483,-0.158434776390322
"HD4316-S1_S16",-0.1183113501341,-0.101512782596343
"HD4317-S1_S17",-0.139499427289718,-0.358012062061958
"HD4318-S1_S18",0.0825988325774729,-0.0593544259820757
"HD4319-S1_S19",-0.510265934380337,-1.2817725084473
"HD4321-S111_19_S21",-0.410384226589825,-0.38682466193539
"HD4322-S1_S22",0.039216296659952,-0.514604643122275
"HD4323-S1_S23",-0.217396372265714,-0.365732533688125
"HD4324-S1_S24",-0.113865780554793,0.433068257058329
"HD4325-S1_S25",-0.346811545111075,-0.75034754967598
"HD4326-S1_S26",-0.974091820405474,0.708601123413839
"HD4328-S1_S28",0.374118165704515,-0.687073757577977
"HD4329-S1_S29",-0.655760094482776,0.0801221894877646
"HD4330-S1_S30",0.449025837763661,-0.133367090404876
"HD4331-S1_S31",0.462763057948286,-0.506853971293301
"HD4332-S1_S32",0.79088049136127,-0.354220208622539
"HD4334-S1_S34",0.127582144496885,0.264391198157863
"HD4335-S1_S35",-0.470518548109467,-0.213117375309021
"HD4336-S1_S161",-0.532040716768765,-0.473328883346841
"HD4337-S1_S37",0.0507120027022769,0.193602177122854
"HD4338-S1_S38",-0.399044665091866,0.115057013800228
"HD4339-S1_S39",-0.469182022324593,0.593406774989074
"HD4340-S1_S40",0.175241360301221,-0.581471216673297
"HD4341-S1_S41",0.220410639360478,0.0606949661981698
"HD4342-S1_S42",0.0707794939185934,-0.248233530347236
"HD4343-S1_S43",-0.314060654964211,-0.0284300673880762
"HD4344-S1_S44",0.194438437121739,0.424279995729747
"HD4345-S1_S45",0.161048786542099,-0.165627894224033
"HD4347-S1_S47",-0.311560161504407,0.610088635055314
"HD4348-S1_S48",0.338987507853789,0.390118737196411
"HD4349-S1_S49",-0.214771340969427,0.22260548490648
"HD4350-S1_S50",-0.366688826007925,-0.174291079102202
"HD4351-S1_S51",1.73727842935679,0.555370094542104
"HD4352-S1_S52",-0.891757218423641,-0.342531700282839
"HD4355-S1_S55",0.996408453622882,0.242003890002924
"HD4356-S1_S56",0.134416547784693,0.54100607636623
"HD4357-S1_S57",-0.0926773425782247,-0.0392774151986909
"HD4358-S1_S58",-0.866182027194976,0.798363252291852
"HD4360-S1_S60",0.73517261664131,0.176915873141941
"HD4361-S1_S61",0.343817051793879,0.078352237080536
"HD4362-S1_S62",0.571739200401194,0.475330741228343
"HD4363-S1_S63",0.455150837312195,-0.05233613491415
"HD4364-S1_S64",0.450169353554379,0.280105942687405
"HD4365-S1_S65",0.0881497761649609,0.66017831402986
"HD4366-S1_S66",-0.704493440268008,-0.18507745248234
"HD4367-S1_S67",0.26759464232991,0.593654125883889
"HD4368-S1_S68",-0.685709119390642,0.200529425947613
"HD4369-S1_S69",-0.881122829877136,-1.29391360230924
"HD4372-S1_S72",-0.0646939387874832,0.66353084011636
"HD4373-S1_S73",-0.0399847824646496,-0.607361807055635
"HD4374-S1_S74",-0.20226832513493,-0.00783733134622215
"HD4375-S1_S75",-0.236432038322389,0.408012648336207
"HD4377-S1_S77",0.808721838917169,-0.0774354880243532
"HD4378-S1_S78",0.00795020779111607,-0.420506570306337
"HD4379-S1_S141",0.621176618222592,-0.619041787446332
"HD4380-S1_S80",-0.800818671614345,0.0637962180724542
"HD4381-S1_S81",-0.29508821786439,0.26606819379311
"HD4382-S1_S82",-0.0775298676231704,-0.244816183214647
"HD4383-S1_S83",0.234562377409794,-0.288594337243123
"HD4384-S1_S84",0.30406734195669,-0.449088004908343
"HD4386-S1_S86",0.279097943738852,0.249925270031367
"HD4387-S1_S87",-0.201753612352853,-0.181643149328834
"HD4388-S1_S88",-0.11109585642685,0.232990432671415
"HD4389-S1_S89",-0.354884336882693,-0.514732370041693
"HD4390-S1_S90",0.68036671509044,-0.436177234076653
"HD4391-S1_S91",-0.575752831692572,0.244688391934837
"HD4392-S1_S92",-0.917270826381056,0.481387433992641
"HD4393-S1_S93",-0.312587667317003,0.0771752709941207
"HD4395-S1_S95",-0.630753486723761,0.466650375097132
"HD4396-S1_S96",-0.00318476896067965,0.355713745128469
"HD4397-S1_S97",-0.0646939387874832,0.66353084011636
"HD4398-S1_S98",0.61711068383522,0.129686192816053
"HD4399-S1_S99",-0.183122671423362,0.155651595931248
