"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV11","ASV11",49.0568547144245,9.1210300208343,2.13121632029798,4.27972981154679,1.87120335410165e-05,0.00544740317614652,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV74","ASV74",11.7405684207087,23.9217142846996,3.38020159394907,7.07700816647211,1.47299856406626e-12,8.09985543729326e-10,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Unclassified"
"ASV228","ASV228",18.1838830297224,23.739959545211,2.48253730567717,9.56278058376866,1.14634596648809e-21,5.67326618814958e-18,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV231","ASV231",22.9080867208636,24.1672702886109,2.98613824827136,8.09315185008633,5.81403092083456e-16,4.79560650453504e-13,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV508","ASV508",6.09836123535929,22.4688572307011,2.86487902229925,7.8428642381794,4.403840348583e-15,3.11351512644818e-12,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified"
"ASV599","ASV599",8.79202913978838,22.8724941250525,2.72987122546158,8.37859819603215,5.35617858640405e-17,6.62693195602841e-14,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium","Unclassified"
"ASV671","ASV671",8.03190327768066,22.3943430625834,2.42307549670782,9.24211527581793,2.41671549401753e-20,5.98016248994637e-17,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV779","ASV779",6.20485539318174,22.2405370921046,2.553021894053,8.71145568469729,2.99997072096015e-18,4.94895169934392e-15,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified"
"ASV811","ASV811",6.75476020718968,21.7278867670175,3.328712282497,6.52741508518681,6.69144199123308e-11,3.01054058314659e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Unclassified"
"ASV825","ASV825",6.93194097472431,22.0766426285899,2.72179441219238,8.11106177957334,5.01793330166724e-16,4.79560650453504e-13,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Unclassified"
"ASV848","ASV848",7.57029849413613,19.5604174364264,2.87910954064714,6.79391220107234,1.09132817628743e-11,5.40098314444649e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Unclassified","Unclassified"
"ASV1099","ASV1099",4.87277048418979,21.2551600627446,2.85790719967371,7.43731639192877,1.02751250642442e-13,6.35644924286809e-11,"Bacteria","Actinobacteriota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis_saalfeldensis"
"ASV1226","ASV1226",4.33767968681771,21.686959592872,3.3808776493835,6.41459462362579,1.41198068850555e-10,5.37530186724152e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Unclassified","Unclassified"
"ASV1366","ASV1366",4.32055141933191,-22.0595398503479,3.40040033938782,-6.48733609240825,8.73673023370698e-11,3.60317316055132e-08,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV1456","ASV1456",2.25109784252971,20.5531990513479,3.35176320487523,6.13205581511625,8.67506549420515e-10,3.06663565220152e-07,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_pineti"
"ASV1860","ASV1860",2.45525822786026,20.4277483900274,3.34848353004723,6.10059694387666,1.0567306747522e-09,3.48650673956575e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Reyranella_aquatilis"
"ASV2151","ASV2151",2.34021183377251,19.4394002920695,3.38404232162365,5.74443179030413,9.22301636792831e-09,2.85279425030483e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus","Unclassified"
