"","Fire_Mod","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"899","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Caenimonas",7347,13,938336,0.782981789039321
"900","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga",78,2,938336,0.00831258738873922
"901","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Paucibacter",67,1,938336,0.00714029942366061
"902","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas",28,1,938336,0.002984005729291
"903","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter",195,5,938336,0.020781468471848
"904","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pseudorhodoferax",47,1,938336,0.00500886675988132
"905","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter",2392,9,938336,0.254919346588003
"906","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhizobacter",1080,4,938336,0.115097363844081
"907","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax",446,5,938336,0.0475309484022781
"908","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Sphaerotilus",231,4,938336,0.0246180472666508
"909","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax",883,6,938336,0.0941027521058555
"910","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Xylophilus",194,3,938336,0.0206748968386591
"911","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Candidatus Nitrotoga",336,6,938336,0.035808068751492
"912","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","MM1",23,1,938336,0.00245114756334618
"913","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylotenera",332,8,938336,0.0353817822187361
"914","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067",800,11,938336,0.0852573065511714
"915","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","GOUTA6",370,8,938336,0.0394315042799168
"916","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","IS-44",811,10,938336,0.08642959451625
"917","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","MND1",1174,13,938336,0.125115097363844
"918","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Nitrosospira",721,8,938336,0.0768381475292433
"919","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","mle1-7",33,3,938336,0.00351686389523582
"920","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium",382,4,938336,0.0407103638781844
"921","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas",125,4,938336,0.0133214541486205
"922","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Duganella",242,4,938336,0.0257903352317294
"923","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum",33,1,938336,0.00351686389523582
"924","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Herminiimonas",44,2,938336,0.00468915186031443
"925","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Janthinobacterium",1205,8,938336,0.128418817992702
"926","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia",5026,13,938336,0.535629028407735
"927","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum",2296,10,938336,0.244688469801862
"928","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalicibacterium",286,2,938336,0.0304794870920438
"929","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella",64,1,938336,0.00682058452409372
"930","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium",8,1,938336,0.000852573065511714
"931","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas",56,1,938336,0.005968011458582
"932","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Georgfuchsia",212,2,938336,0.0225931862360604
"933","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Uliginosibacterium",120,2,938336,0.0127885959826757
"934","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",41,5,938336,0.00436943696074754
"935","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",82,5,938336,0.00873887392149507
"936","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter",1845,13,938336,0.196624663233639
"937","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Berkiella",58,5,938336,0.00618115472495993
"938","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Candidatus Ovatusbacter",51,4,938336,0.00543515329263718
"939","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella",113,6,938336,0.012042594550353
"940","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae","Cellvibrio",725,11,938336,0.0772644340619991
"941","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","OM60(NOR5) clade",11,1,938336,0.00117228796507861
"942","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",88,2,938336,0.00937830372062886
"943","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Alkanindiges",56,2,938336,0.005968011458582
"944","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Cavicella",61,1,938336,0.00650086962452682
"945","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudohongiellaceae","BIyi10",66,3,938336,0.00703372779047164
"946","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",1563,12,938336,0.166571462674351
"947","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Spongiibacteraceae","BD1-7 clade",30,1,938336,0.00319714899566893
"948","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Alkanibacter",3263,12,938336,0.34774323909559
"949","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Hydrocarboniphaga",29,2,938336,0.00309057736247996
"950","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia",22,3,938336,0.00234457593015721
"951","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Solimonas",6,1,938336,0.000639429799133786
"952","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter",511,4,938336,0.0544581045595608
"953","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Ahniella",13,1,938336,0.00138543123145654
"954","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Chiayiivirga",9,1,938336,0.000959144698700679
"955","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dokdonella",16,1,938336,0.00170514613102343
"956","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella",171,3,938336,0.0182237492753129
"957","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria",81,3,938336,0.00863230228830611
"958","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter",390,4,938336,0.0415629369436961
"959","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter",140,7,938336,0.014920028646455
"960","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rudaea",5,1,938336,0.000532858165944821
"961","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas",22,3,938336,0.00234457593015721
"962","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter",76,3,938336,0.00809944412236129
"963","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",129,3,938336,0.0137477406813764
"964","Wildfire","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas",171,2,938336,0.0182237492753129
"965","Wildfire","Bacteria","Spirochaetota","Leptospirae","Leptospirales","Leptospiraceae","Turneriella",2,1,938336,0.000213143266377929
"966","Wildfire","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2",38,2,938336,0.00404972206118064
"967","Wildfire","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus Protochlamydia",26,2,938336,0.00277086246291307
"968","Wildfire","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia",45,3,938336,0.00479572349350339
"969","Wildfire","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Candidatus Rhabdochlamydia",6,1,938336,0.000639429799133786
"970","Wildfire","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus Omnitrophus",3,1,938336,0.000319714899566893
"971","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",10216,14,938336,1.08873580465846
"972","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter",1251,12,938336,0.133321113119394
"973","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","LD29",14,1,938336,0.0014920028646455
"974","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium",7,1,938336,0.00074600143232275
"975","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter",2350,13,938336,0.250443337994066
"976","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134",25,2,938336,0.00266429082972411
"977","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera",565,10,938336,0.0602129727517648
"978","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus",592,11,938336,0.0630904068478669
"979","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","ADurb.Bin063-1",1089,10,938336,0.116056508542782
"980","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV008",13,2,938336,0.00138543123145654
"981","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV114",11,1,938336,0.00117228796507861
"982","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin516",224,5,938336,0.023872045834328
"983","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Ellin517",310,8,938336,0.0330372062885789
"984","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera",647,10,938336,0.0689518466732599
"985","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","SH3-11",76,2,938336,0.00809944412236129
"986","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter",217,6,938336,0.0231260444020053
"987","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",200,5,938336,0.0213143266377929
"988","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium",36,3,938336,0.00383657879480271
"989","Wildfire","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",28,2,938336,0.002984005729291
