"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV112","ASV112",17.4713758317096,-23.1839502175639,3.30743501268107,-7.00964648698283,2.38921026540175e-12,1.36328337743824e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Unclassified"
"ASV137","ASV137",19.1940618322311,-23.146443055635,4.25852096038716,-5.43532444032651,5.46968160579868e-08,6.24200064853745e-05,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Unclassified","Unclassified"
"ASV151","ASV151",22.8813870077776,20.0444257887193,3.20065857506709,6.26259418760376,3.78625039000952e-10,7.20144824179812e-07,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae (Subgroup 1)","Edaphobacter","Unclassified"
"ASV192","ASV192",13.5976799780698,-23.668515004831,4.47589594966157,-5.28799491119105,1.2366441793976e-07,8.99689245310232e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense"
"ASV207","ASV207",15.7679748545,20.8501841592136,3.94563432836352,5.28436809496772,1.26139396468311e-07,8.99689245310232e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Xiphinematobacteraceae","Candidatus Xiphinematobacter","Unclassified"
"ASV248","ASV248",21.0918520665465,-22.7814385886169,3.56747611799441,-6.38586996383995,1.70425778691338e-10,4.86224746606388e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","GOUTA6","Unclassified"
"ASV250","ASV250",14.646044634975,-22.5933047369382,4.65081735942027,-4.85792130520356,1.18624535422786e-06,0.000676871599122418,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV265","ASV265",11.3468339334135,20.4367973965183,4.22871585970024,4.83286134007759,1.34584529463704e-06,0.000698126659199905,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified","Unclassified"
"ASV293","ASV293",15.8850173911217,20.5390099432131,3.93741895881802,5.21636385612842,1.82469577104276e-07,0.000115685711884111,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus","Unclassified"
"ASV298","ASV298",10.7897078386806,-22.3612678533081,5.14202382023513,-4.34872895090666,1.36928820345826e-05,0.00601012191456371,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV303","ASV303",21.8256147666641,20.1498679793965,3.64479223108607,5.52839961837613,3.23165250270637e-08,4.60995229511064e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV345","ASV345",11.0002403867604,20.0304226936059,4.24127785503067,4.72273295413726,2.32696310138676e-06,0.00110647095470941,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium","Unclassified"
"ASV353","ASV353",20.4595336090463,21.2765286324707,3.96689748965144,5.36351864094684,8.16162245442059e-08,7.76170295415398e-05,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
