"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Fire_Mod",1,0.775908449562816,0.0311441660853691,3.17374319501004,1e-04,4e-04,4e-04,0.013
"Treatuntreat_EP",1,0.666713872808368,0.0267612082299955,2.72709830397722,2e-04,4e-04,8e-04,0.002
"YrSinceTrt_BR",3,0.897225745751401,0.0360137174140782,1.22332478209715,0.0743,0.0990666666666667,0.2972,NA
"YrSinceTrt_BR:Fire_Mod",2,0.570631306065198,0.0229045529528891,1.1670431128212,0.1934,0.1934,0.7736,NA
