"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Abundance","Prevalence","Total_Abundance","Percentage"
"39","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Spirosomaceae","Emticicia","Emticicia_soli",11,1,42350,0.025974025974026
"40","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_saccharophilum",138,3,42350,0.325855962219599
"41","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_aquaedulcis",12,1,42350,0.0283353010625738
"42","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_frigoritolerans",1955,23,42350,4.61629279811098
"43","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_gracilis",70,2,42350,0.165289256198347
"44","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_jinjuensis",20,2,42350,0.0472255017709563
"45","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_mallensis",35,1,42350,0.0826446280991736
"46","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_myungsuensis",23,1,42350,0.0543093270365998
"47","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_pineti",340,7,42350,0.802833530106257
"48","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter_rigui",88,2,42350,0.207792207792208
"49","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_jamesrossensis",8,1,42350,0.0188902007083825
"50","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_luteus",54,4,42350,0.127508854781582
"51","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter","Ktedonobacter_racemifer",377,14,42350,0.890200708382527
"52","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus","Alicyclobacillus_pomorum",14082,76,42350,33.2514757969303
"53","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus_ginsengisoli",778,11,42350,1.8370720188902
"54","Bacteria","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus","Tumebacillus_permanentifrigoris",156,7,42350,0.368358913813459
"55","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus_psychrosaccharolyticus",24,2,42350,0.0566706021251476
"56","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus","Oceanobacillus_chungangensis",9,1,42350,0.0212514757969303
"57","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus","Domibacillus_tundrae",214,4,42350,0.505312868949233
"58","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus","Psychrobacillus_soli",191,4,42350,0.451003541912633
"59","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_agarexedens",40,2,42350,0.0944510035419126
"60","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_alginolyticus",175,5,42350,0.413223140495868
"61","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_baekrokdamisoli",46,2,42350,0.1086186540732
"62","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_glacialis",24,1,42350,0.0566706021251476
"63","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_pectinilyticus",467,16,42350,1.10271546635183
"64","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_rhizoryzae",156,9,42350,0.368358913813459
"65","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Paenibacillus_wynnii",19,1,42350,0.0448642266824085
"66","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Shimazuella","Shimazuella_kribbensis",10,1,42350,0.0236127508854782
"67","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia","Romboutsia_hominis",14,1,42350,0.0330578512396694
"68","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus","Desulfosporosinus_fructosivorans",14,3,42350,0.0330578512396694
"69","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Aetherobacter","Aetherobacter_rufus",627,11,42350,1.48051948051948
"70","Bacteria","Planctomycetota","Planctomycetes","Isosphaerales","Isosphaeraceae","Singulisphaera","Singulisphaera_acidiphila",34,1,42350,0.0802833530106257
"71","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","Roseomonas_aquatica",176,5,42350,0.415584415584416
"72","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_mobile",403,14,42350,0.95159386068477
"73","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella","Reyranella_aquatilis",338,6,42350,0.798110979929162
"74","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylovirgula","Methylovirgula_ligni",99,4,42350,0.233766233766234
"75","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_geojensis",151,2,42350,0.35655253837072
"76","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","Devosia_limi",339,8,42350,0.80047225501771
"77","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_facile",1241,19,42350,2.93034238488784
"78","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia","Kaistia_granuli",14,1,42350,0.0330578512396694
"79","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Labraceae","Labrys","Labrys_monachus",13,1,42350,0.0306965761511216
"80","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis","Nordella","Nordella_oligomobilis",15,1,42350,0.0354191263282172
"81","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium","Rhodomicrobium_vannielii",3857,74,42350,9.10743801652893
"82","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Ancylobacter","Ancylobacter_dichloromethanicus",18,2,42350,0.0425029515938607
"83","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Bradyrhizobium_canariense",790,11,42350,1.86540731995277
"84","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis",132,6,42350,0.311688311688312
"85","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Tardiphaga","Tardiphaga_robiniae",326,6,42350,0.769775678866588
