"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV265","ASV265",11.3468339334135,-22.2706458591826,3.39319951446878,-6.56331753090833,5.26236206211469e-11,3.33896872841177e-08,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Unclassified","Unclassified"
"ASV267","ASV267",8.1434956398176,-22.4153462908606,4.71972907317782,-4.74928665254258,2.0413542275989e-06,0.000647619628705752,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Unclassified"
"ASV275","ASV275",26.906299379142,-7.4575956843565,1.95279951263459,-3.81892541251979,0.000134034278825595,0.0154626818026982,"Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","HSB OF53-F07","Unclassified"
"ASV293","ASV293",15.8850173911217,-22.4732912051103,3.16338585681111,-7.10418906271675,1.2103107856323e-12,1.53588438696739e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus","Unclassified"
"ASV315","ASV315",10.2437518849373,-23.2179791958135,5.60203508867806,-4.14456154384644,3.40464511971288e-05,0.00521546107142062,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Pedosphaera","Unclassified"
"ASV400","ASV400",8.61482889783705,-21.1495169027921,4.83839370449712,-4.37118560301002,1.23573690755148e-05,0.00261358355947137,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV408","ASV408",8.27952574193955,-22.9204223080629,4.03980332773459,-5.67364805873262,1.39788173389396e-08,5.91303973437143e-06,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
"ASV440","ASV440",4.16109361686252,-20.1225464323158,4.78563944451445,-4.20477695104701,2.61339754083051e-05,0.00473771639901988,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Unclassified"
"ASV954","ASV954",6.30983699480957,21.2309947384144,4.54505538255472,4.67122905034453,2.99402845875393e-06,0.000759884422831746,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV968","ASV968",5.29263676759746,-19.8376932243959,4.8187144232052,-4.11680201027575,3.84165820401866e-05,0.00521546107142062,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup 10","Unclassified"
"ASV1097","ASV1097",3.93602580288754,-20.0499231964511,5.73006816160346,-3.49907237243762,0.000466879838007682,0.0493725428693123,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae","Haliangium","Unclassified"
"ASV1366","ASV1366",4.32055141933191,23.3582558540741,5.69545040830188,4.10121310511744,4.10989840143469e-05,0.00521546107142062,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Conexibacter","Unclassified"
