"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Fire_Mod",1,0.7740546636342,0.0310697570273416,3.16616054723856,1e-04,4e-04,4e-04,0.013
"Fire_Mod:YrSinceTrt_BR",2,0.5706313060652,0.0229045529528892,1.1670431128212,0.1934,0.1934,0.7736,NA
"Treatuntreat_EP",1,0.666713872808368,0.0267612082299955,2.72709830397722,2e-04,4e-04,8e-04,0.002
"YrSinceTrt_BR",3,0.899079531680016,0.0360881264721056,1.22585233135431,0.0734,0.0978666666666667,0.2936,0.011
