"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV112","ASV112",17.4713758317096,20.9987979875135,3.30742533070708,6.34898626207965,2.16738385624479e-10,1.23670922837328e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","Unclassified"
"ASV137","ASV137",19.1940618322311,21.154634692027,4.25851241640308,4.96761136836019,6.77826319692225e-07,0.000552525282880548,"Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Unclassified","Unclassified"
"ASV192","ASV192",13.5976799780698,21.4766751325292,4.47588664561131,4.79830630956382,1.60012941837199e-06,0.00114129230765382,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Noviherbaspirillum","Noviherbaspirillum_suwonense"
"ASV248","ASV248",21.0918520665465,20.9160976729012,3.56746598381232,5.86301250462086,4.54543976606304e-09,6.48406982628892e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","GOUTA6","Unclassified"
"ASV250","ASV250",14.646044634975,20.5567723993009,4.65080821432527,4.42004302305621,9.86812529647739e-06,0.00625639143796667,"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria Incertae Sedis","Unknown Family","Acidibacter","Unclassified"
"ASV298","ASV298",10.7897078386806,20.2238845489873,5.14201248566537,3.93306795838524,8.38685138631974e-05,0.0478553740103404,"Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Koribacteraceae","Candidatus Koribacter","Unclassified"
"ASV303","ASV303",21.8256147666641,-22.297169515617,3.64479909424768,-6.11753046987061,9.5036593336432e-10,2.71139400788841e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Unclassified","Unclassified"
"ASV345","ASV345",11.0002403867604,-22.1817134375759,4.24128727428199,-5.22994836310188,1.69557393213686e-07,0.000193498897135458,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","Actimicrobium","Unclassified"
"ASV353","ASV353",20.4595336090463,-23.5160360856475,3.96690612431041,-5.92805459688952,3.06544586028077e-09,5.83047802625403e-06,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter","Unclassified"
"ASV606","ASV606",11.4390885800928,20.6090732491569,4.08566649794745,5.04423776622748,4.55332818705956e-07,0.000433021510589365,"Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","Unclassified"
