"","YrSinceTrt_BR","Kingdom","Phylum","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"71","5 to 8","Bacteria","Gemmatimonadota",1682,7,0.087254543756772,1.2464934822396
"72","5 to 8","Bacteria","Bdellovibrionota",355,7,0.0196539258746331,0.280770369637616
"73","5 to 8","Bacteria","Fibrobacterota",251,5,0.0140499716470758,0.200713880672512
"74","5 to 8","Bacteria","Armatimonadota",226,4,0.0107230079193516,0.153185827419309
"75","5 to 8","Bacteria","Dependentiae",161,6,0.00868501551613476,0.124071650230497
"76","5 to 8","Bacteria","Nitrospirota",144,4,0.00784068156452903,0.112009736636129
"77","5 to 8","Bacteria","Cyanobacteria",96,5,0.00495058782807667,0.0707226832582382
"78","5 to 8","Bacteria","Desulfobacterota",57,2,0.00422408020685009,0.0603440029550013
"79","5 to 8","Bacteria","Entotheonellaeota",11,1,0.000959525471039777,0.0137075067291397
"80","5 to 8","Bacteria","Spirochaetota",20,1,0.000899442345745638,0.0128491763677948
"81","5 to 8","Bacteria","Latescibacterota",6,1,0.00052337752965806,0.007476821852258
"82","5 to 8","Bacteria","Abditibacteriota",7,2,0.000342728295235885,0.00489611850336979
"83","10 to 12","Bacteria","Proteobacteria",38188,7,3.06692721569568,43.8132459385097
"84","10 to 12","Bacteria","Verrucomicrobiota",15712,7,1.27745476062459,18.2493537232085
"85","10 to 12","Bacteria","Actinobacteriota",9619,7,0.767835017619652,10.9690716802807
"86","10 to 12","Bacteria","Acidobacteriota",6340,7,0.493673830947504,7.05248329925005
"87","10 to 12","Bacteria","Planctomycetota",4389,7,0.342911868028834,4.89874097184049
"88","10 to 12","Bacteria","Bacteroidota",3896,7,0.291124312235462,4.15891874622088
"89","10 to 12","Bacteria","Myxococcota",3297,7,0.254530269851194,3.63614671215992
"90","10 to 12","Bacteria","Firmicutes",2814,7,0.238268174536702,3.40383106481004
"91","10 to 12","Bacteria","Chloroflexi",1810,7,0.145561694128514,2.07945277326449
"92","10 to 12","Bacteria","Gemmatimonadota",1071,7,0.0820171876759008,1.17167410965573
"93","10 to 12","Bacteria","Nitrospirota",166,3,0.0115053353734522,0.164361933906459
"94","10 to 12","Bacteria","Bdellovibrionota",129,5,0.00928751143751049,0.132678734821578
"95","10 to 12","Bacteria","Armatimonadota",66,3,0.00513821546254404,0.0734030780363435
"96","10 to 12","Bacteria","Dependentiae",50,4,0.00412787412547562,0.0589696303639375
"97","10 to 12","Bacteria","Cyanobacteria",51,4,0.00401029861669367,0.057289980238481
"98","10 to 12","Bacteria","Fibrobacterota",50,4,0.003684192278379,0.0526313182625571
"99","10 to 12","Bacteria","Latescibacterota",24,1,0.00161757767742805,0.0231082525346864
"100","10 to 12","Bacteria","Entotheonellaeota",5,2,0.000324663684481029,0.00463805263544327
