input	filtered	denoisedF	denoisedR	merged	nonchim
HD4340-S1	44044	33372	28922	28329	20965	20890
HD4341-S1	31262	25179	22032	21891	16818	16568
HD4342-S1	27787	21560	19262	19152	15002	14813
HD4343-S1	33368	26019	24279	24188	20736	20466
HD4344-S1	26249	20631	18370	18224	14063	13873
HD4345-S1	26476	20469	18165	17991	13718	13320
HD4346-S1	29736	22720	20508	20538	16512	16123
HD4347-S1	32999	25840	23340	23372	18996	18725
HD4348-S1	32319	25706	23299	23228	18950	18414
HD4349-S1	36132	27181	24603	24558	19709	19234
HD4350-S1	26729	20534	18842	18839	15850	15505
HD4351-S1	35124	27525	25156	24990	20761	20486
HD4352-S1	30973	25083	23123	23038	19107	18960
HD4353-S1	28549	22646	20682	20608	16989	16821
HD4354-S1	34597	27161	24807	24476	20128	20026
HD4355-S1	39480	30689	27836	27887	22901	22327
HD4356-S1	21419	19022	17070	17018	14706	13742
HD4357-S1	26442	20199	18216	18022	14112	13913
HD4358-S1	26778	20682	18835	18640	15194	14659
HD4359-S1	29123	22740	20827	20740	17450	17162
HD4360-S1	28157	22186	19969	19757	15958	15593
HD4361-S1	23257	18288	16183	16251	12511	12379
HD4362-S1	29682	22789	20454	20241	16252	16129
HD4363-S1	64031	47193	43980	43864	37983	36477
HD4364-S1	55503	42505	38532	38334	30739	30465
HD4365-S1	50449	39508	35995	35996	29604	29560
HD4366-S1	55926	43647	40386	40319	34140	33811
HD4367-S1	49960	38218	35068	34868	28967	28375
HD4368-S1	43433	34965	32500	32283	27907	27313
HD4369-S1	57181	45067	41548	41596	34729	33610
HD4370-S1	64433	50345	45486	45539	36228	35741
HD4371-S10	54662	43861	39561	39337	31076	30565
HD4371-S11	45174	35466	32188	32019	26069	26061
HD4371-S112_6	61154	48572	44603	44682	37356	36386
HD4371-S112_7	80121	62854	58161	58023	48987	47943
HD4371-S12	42591	33038	30733	30903	26160	25936
HD4371-S13	40931	32023	29166	29110	23632	23303
HD4371-S14	33599	26173	23992	24008	19822	19544
HD4371-S15	33844	27591	24885	24703	18934	18822
HD4371-S16	34938	28773	26520	26419	22033	21899
HD4371-S17	53566	41090	37064	36744	28857	28565
HD4371-S18	67883	52860	48352	48261	39175	38588
HD4371-S19	28883	23631	21896	21698	18271	18036
HD4371-S2	67782	52722	48710	48805	41309	40029
HD4371-S20	31464	25282	22709	22662	17924	17792
HD4371-S3	41606	34924	32775	32566	28755	27068
HD4371-S4	41617	32072	29185	29166	23023	23005
HD4371-S5	44183	34683	31837	31715	26393	25668
HD4371-S6	37934	28737	27014	26947	23421	22184
HD4371-S7	37319	28531	26346	26250	22012	21556
HD4371-S8	41233	32437	30122	29845	25649	25200
HD4371-S9	62175	49805	45776	45710	37593	36793
HD4372-S1	48909	38848	36394	36421	31607	30687
HD4373-S1	41463	32815	30796	30713	26808	25913
HD4374-S1	46899	36138	33670	33498	28827	28200
HD4375-S1	28832	23281	21306	21122	17321	17154
HD4376-S1	39358	30669	28697	28718	25098	24945
HD4377-S1	42555	33177	31281	31183	27901	27085
HD4378-S1	55699	43407	39492	39379	32060	31737
HD4379-S10	27608	21124	19378	19250	16237	16053
HD4379-S11	18389	13871	12232	12205	8938	8821
HD4379-S112_13	46422	36536	33233	33167	27037	26609
HD4379-S112_2	45715	35053	32475	32337	26372	26345
HD4379-S12	24418	19100	17289	17226	13576	13499
HD4379-S13	22589	17561	15911	15746	12585	12479
HD4379-S14	26180	20652	18872	18637	14976	14880
HD4379-S15	27567	22030	19883	19594	15731	15593
HD4379-S16	57077	44256	40576	40378	33284	32182
HD4379-S17	50956	40129	36715	36782	30291	29758
HD4379-S18	31551	27649	25114	25140	20765	20544
HD4379-S19	48100	37317	33960	33923	27547	27396
HD4379-S2	30470	23422	21541	21482	17878	17398
HD4379-S20	25873	20491	19126	19121	16132	15958
HD4379-S3	26520	20614	18436	18347	13833	13653
HD4379-S4	31335	24637	22333	22460	18475	18237
HD4379-S5	28389	21834	20152	20299	16874	16733
HD4379-S6	24408	18941	17016	17023	13563	13548
HD4379-S7	31393	24230	22456	22261	19055	18696
HD4379-S8	41488	32527	30017	29826	24803	23584
HD4379-S9	39564	30898	27355	27360	20652	20258
HD4380-S1	34940	27758	25659	25573	21119	20920
HD4381-S1	39743	29604	27845	27955	24493	23797
HD4382-S1	36012	27434	25111	25097	20431	20110
HD4383-S1	35970	28091	25561	25335	20394	20290
HD4384-S1	36586	28103	25498	25475	20439	20308
HD4385-S1	42318	32458	30316	30189	25926	25512
HD4386-S1	50280	39063	35681	35331	29351	29028
