"","YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Species","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1084","3 to 4","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cyathicula","Cyathicula_amenti",16,2,0.00124518722915255,0.0311296807288137
"1085","3 to 4","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces","Talaromyces_minioluteus",29,1,0.00118391508471117,0.0295978771177791
"1086","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Radiigera","Radiigera_taylorii",16,2,0.00117118814169546,0.0292797035423864
"1087","3 to 4","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcosomataceae","Plectania","Plectania_melastoma",10,1,0.0011482374555058,0.028705936387645
"1088","3 to 4","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_echinulatum",27,1,0.00110226576852419,0.0275566442131047
"1089","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pleurotaceae","Nematoctonus","Nematoctonus_pachysporus",27,1,0.00110226576852419,0.0275566442131047
"1090","3 to 4","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_fluviae",26,1,0.0010614411104307,0.0265360277607675
"1091","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Aleurodiscus","Aleurodiscus_grantii",9,1,0.00103341370995522,0.0258353427488805
"1092","3 to 4","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium_benthicum",9,1,0.00103341370995522,0.0258353427488805
"1093","3 to 4","Fungi","Ascomycota","Dothideomycetes","Dothideales","Saccotheciaceae","Aureobasidium","Aureobasidium_pullulans",24,1,0.000979791794243723,0.0244947948560931
"1094","3 to 4","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","Absidia_glauca",22,2,0.000964497304781573,0.0241124326195393
"1095","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Ramaria","Ramaria_velocimutans",23,1,0.000938967136150235,0.0234741784037559
"1096","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_russulaespermus",8,1,0.000918589964404639,0.022964749110116
"1097","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Albatrellaceae","Leucogaster","Leucogaster_citrinus",21,1,0.000857317819963258,0.0214329454990814
"1098","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus_exilis",4,1,0.000847457627118644,0.0211864406779661
"1099","3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_moniliae",20,1,0.000816493161869769,0.0204123290467442
"1100","3 to 4","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium_capitatum",7,1,0.000803766218854059,0.0200941554713515
"1101","3 to 4","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Krasilnikovozyma","Krasilnikovozyma_huempii",12,2,0.000785892246950227,0.0196473061737557
"1102","3 to 4","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Pseudotremella","Pseudotremella_allantoinivorans",5,2,0.000768200050211062,0.0192050012552765
"1103","3 to 4","Fungi","Ascomycota","Sordariomycetes","Chaetosphaeriales","Chaetosphaeriaceae","Chaetosphaeria","Chaetosphaeria_vermicularioides",17,1,0.000694019187589304,0.0173504796897326
"1104","3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_xenobiotica",16,1,0.000653194529495815,0.0163298632373954
"1105","3 to 4","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella_gemmifera",15,1,0.000612369871402327,0.0153092467850582
"1106","3 to 4","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Farysia","Farysia_acheniorum",5,1,0.000574118727752899,0.0143529681938225
"1107","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Ganoderma_applanatum",14,1,0.000571545213308838,0.014288630332721
"1108","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus","Leucoagaricus_vassiljevae",9,1,0.000433776749566223,0.0108444187391556
"1109","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Basidiodendron","Basidiodendron_walleynii",10,1,0.000408246580934885,0.0102061645233721
"1110","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_nemorosa",8,1,0.000385579332947754,0.00963948332369385
"1111","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_whitei",7,1,0.000337381916329285,0.00843454790823212
"1112","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Hydnaceae","Sistotrema","Sistotrema_oblongisporum",6,1,0.000289184499710815,0.00722961249277039
"1113","3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Cladophialophora_potulentorum",7,1,0.000285772606654419,0.00714431516636048
"1114","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_teraturgus",7,1,0.000285772606654419,0.00714431516636048
"1115","3 to 4","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema","Papiliotrema_laurentii",7,1,0.000285772606654419,0.00714431516636048
"1116","3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","Capronia_fungicola",6,1,0.000244947948560931,0.00612369871402327
"1117","3 to 4","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycopsidaceae","Saccharomycopsis","Saccharomycopsis_synnaedendra",6,1,0.000244947948560931,0.00612369871402327
"1118","3 to 4","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Virgaria","Virgaria_nigra",5,1,0.000240987083092346,0.00602467707730866
"1119","3 to 4","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Sympodiella","Sympodiella_quercina",5,1,0.000204123290467442,0.00510308226168606
"1120","3 to 4","Fungi","Basidiomycota","Agaricomycetes","Boletales","Coniophoraceae","Coniophora","Coniophora_fusispora",5,1,0.000204123290467442,0.00510308226168606
"1121","5 to 8","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber_oregonense",14088,3,0.792249940807435,11.3178562972491
"1122","5 to 8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_chondroderma",20689,1,0.659305289993626,9.41864699990894
"1123","5 to 8","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica",13141,7,0.634744109557684,9.06777299368119
"1124","5 to 8","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_humilis",12540,7,0.495994692998129,7.08563847140184
"1125","5 to 8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_fuscicothurnata",11296,1,0.495699490960154,7.08142129943077
"1126","5 to 8","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha",6528,7,0.479277696754236,6.84682423934622
"1127","5 to 8","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","Oidiodendron_chlamydosporicum",6091,7,0.355110981973775,5.07301402819678
"1128","5 to 8","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia","Scutellinia_cejpii",3685,3,0.273722552408208,3.91032217726011
"1129","5 to 8","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_lignicola",6655,4,0.230668491626171,3.29526416608815
"1130","5 to 8","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_diversispora",3318,5,0.21735854415501,3.10512205935729
"1131","5 to 8","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila","Podila_minutissima",3375,7,0.187446759131714,2.67781084473877
