"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Fire_Mod",1,0.973240275917085,0.0252825823517052,2.5289702622147,1e-04,3e-04,3e-04,0.052
"Treatuntreat_EP",1,0.673377826391031,0.0174928337542352,1.74977602172598,2e-04,3e-04,6e-04,0.527
"YrSinceTrt_BR",3,1.44291262352969,0.0374836082449719,1.2498054886608,0.003,0.003,0.009,0.08
