"","Treatuntreat_EP","Kingdom","Phylum","Class","Order","Family","Genus","Raw_Abundance","Prevalence","Relative_Abundance","Percentage"
"1227","Treated","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis",7,1,0.000168366365210698,0.000431708628745381
"1228","Treated","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus",6,1,0.00016479894528675,0.000422561398171154
"1229","Treated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Sugiyamaella",7,1,0.000159007791381778,0.000407712285594302
"1230","Treated","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Cephalotrichum",11,1,0.000156037221970041,0.000400095440948823
"1231","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrogranaceae_gen_Incertae_sedis",9,1,0.00015353121801433,0.000393669789780332
"1232","Treated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscyphaceae_gen_Incertae_sedis",6,1,0.000144314027323456,0.000370035967496041
"1233","Treated","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetales_fam_Incertae_sedis","Trichaptum",6,1,0.000144314027323456,0.000370035967496041
"1234","Treated","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Torulaspora",8,1,0.000142714428428714,0.000365934431868498
"1235","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis","Hobus",6,1,0.000136292392612952,0.000349467673366545
"1236","Treated","Fungi","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS08","GS08_fam_Incertae_sedis","GS08_gen_Incertae_sedis",3,1,0.000130736043927311,0.000335220625454643
"1237","Treated","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Anungitea",6,1,0.000128046438174911,0.000328324200448491
"1238","Treated","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Cyanosporus",7,1,0.000124875124875125,0.000320192627884936
"1239","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Baeospora",6,1,0.000122940742562085,0.000315232673236116
"1240","Treated","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Phleogenaceae","Bourdotigloea",7,1,0.000119413169566701,0.000306187614273592
"1241","Treated","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria",4,1,0.000113888730710096,0.000292022386436144
"1242","Treated","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Alatosessilispora",8,1,0.000113481615978212,0.000290978502508235
"1243","Treated","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Hawksworthiomyces",8,1,0.000113481615978212,0.000290978502508235
"1244","Treated","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Amphisphaeriaceae_gen_Incertae_sedis",7,1,0.000109888384797727,0.000281765089224941
"1245","Treated","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Daldinia",7,1,0.000109888384797727,0.000281765089224941
"1246","Treated","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophorales_fam_Incertae_sedis","Pyxidiophorales_gen_Incertae_sedis",4,1,0.0001098659635245,0.00028170759878077
"1247","Treated","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Piskurozymaceae_gen_Incertae_sedis",5,1,0.00010670536514576,0.000273603500373743
"1248","Treated","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Typhulaceae","Macrotyphula",5,1,0.000102450618801738,0.00026269389436343
"1249","Treated","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae","Caliciopsis",6,1,0.000102354145342886,0.000262446526520222
"1250","Treated","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporales_fam_Incertae_sedis","Archaeosporales_gen_Incertae_sedis",6,1,0.000102354145342886,0.000262446526520222
"1251","Treated","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Ramularia",7,1,9.92964139809351e-05,0.000254606189694705
"1252","Treated","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria",7,1,9.92964139809351e-05,0.000254606189694705
"1253","Treated","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_fam_Incertae_sedis","Cryptostroma",7,1,9.92964139809351e-05,0.000254606189694705
