"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Fire_Mod",1,0.973584719700208,0.0253558754760531,2.53295239780693,1e-04,2e-04,4e-04,0.073
"Fire_Mod:YrSinceTrt_BR",2,0.701932870064956,0.0182810207327372,0.913101094519031,0.7916,0.7916,1,NA
"Treatuntreat_EP",1,0.70494794618711,0.0183595448643892,1.83404644145765,1e-04,2e-04,4e-04,0.331
"YrSinceTrt_BR",3,1.42326400140494,0.0370672464952872,1.23429079227298,0.0046,0.00613333333333333,0.0184,0.123
