"","ASV","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","boot.Kingdom","boot.Phylum","boot.Class","boot.Order","boot.Family","boot.Genus","boot.Species"
"ASV388","ASV388",21.6599671470071,-22.2723403525938,3.91740122008729,-5.68548869551266,1.30439113216223e-08,3.48533310513747e-06,"Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis","Umbelopsis_dimorpha","100","100","100","100","100","100","97"
"ASV429","ASV429",10.9480649762997,-20.2167446425047,5.72977984618344,-3.52836325046082,0.000418137930228013,0.0124140505507694,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiaceae","Rhizophydiaceae_gen_Incertae_sedis","Unclassified","100","100","100","100","100","100","100"
"ASV439","ASV439",25.2346019448396,-20.9335128839907,4.48589275396455,-4.66652103207105,3.06342301397013e-06,0.000227374063703561,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Hymenogaster","Unclassified","100","100","100","100","100","94","78"
"ASV445","ASV445",14.9168150996884,-22.5149701150842,4.1455556972283,-5.431110268314,5.60045136574094e-08,1.24703383743832e-05,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_gamsii","100","100","100","100","100","100","100"
"ASV446","ASV446",29.1858712334588,-22.0560962271923,5.04436892010942,-4.37241934055724,1.22877220393416e-05,0.000684016526856684,"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unclassified","100","99","99","99","99","98","98"
"ASV477","ASV477",11.8409692026426,-19.3281510304259,5.00550259995111,-3.86138067945757,0.000112748071941085,0.00418420622536915,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Unclassified","100","100","100","100","100","100","30"
"ASV519","ASV519",9.50177941524038,22.4023397117997,5.09396909191032,4.39781618372531,1.09345523467868e-05,0.000664025542513961,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unclassified","100","100","100","100","100","81","46"
"ASV536","ASV536",22.222043016933,-22.8313202899327,4.81404100231254,-4.74265181351076,2.10938642685113e-06,0.000176133766642069,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Pseudotomentella","Unclassified","100","100","100","100","100","85","85"
"ASV596","ASV596",9.6882123755787,-23.2168759000103,4.57740772822544,-5.07205765325409,3.93537114323095e-07,4.38137987279712e-05,"Fungi","Ascomycota","Unclassified","Unclassified","Unclassified","Unclassified","Unclassified","100","100","58","58","58","58","58"
"ASV603","ASV603",15.8539052524963,-22.462459714031,5.7286017553901,-3.92110687270168,8.81431570420201e-05,0.00359258155604261,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","Russula_mordax","100","100","100","100","100","100","100"
"ASV673","ASV673",13.7410010155215,-20.9853353712219,3.62924487544572,-5.78228697468221,7.36918559789931e-09,2.46130798969837e-06,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta","Unclassified","100","100","99","98","87","86","86"
"ASV685","ASV685",11.0046246360963,-18.7940275713743,5.50597380800903,-3.4133884807146,0.000641604114172447,0.0178579811777998,"Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum","Geoglossum_nigritum","100","100","100","100","100","100","70"
"ASV695","ASV695",17.7136851116582,-23.0514725488478,3.29012623370172,-7.00625778814346,2.44776735836231e-12,1.63510859538602e-09,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Unclassified","Unclassified","100","100","100","100","100","37","37"
"ASV706","ASV706",6.55498739891624,-20.4478182342481,3.8557252324012,-5.30323531936792,1.13768112275569e-07,1.688824422224e-05,"Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Rhizophydiales_fam_Incertae_sedis","Rhizophydiales_gen_Incertae_sedis","Unclassified","100","100","97","97","97","97","97"
"ASV726","ASV726",13.5645206617861,24.1516001719086,5.6952066627809,4.24068898671285,2.22834723762075e-05,0.00106323996766476,"Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma","Saitozyma_podzolica","100","100","100","100","100","100","99"
"ASV780","ASV780",3.12358770919562,-17.5969996772653,5.01216945260676,-3.51085489899257,0.000446668135040341,0.0126967793279552,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Cryptosporiopsis","Unclassified","100","100","89","84","81","72","72"
"ASV840","ASV840",9.06518356814896,21.5932929573573,4.04440666350302,5.33905088037179,9.34344223065844e-08,1.56035485251996e-05,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Unclassified","Unclassified","Unclassified","100","100","98","82","30","26","26"
"ASV844","ASV844",11.6049036468129,-20.4202559613996,5.72878775651813,-3.56449860411843,0.000364552391485434,0.0110691362505577,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","Sagenomella_diversispora","100","100","100","100","100","100","100"
"ASV845","ASV845",10.5361193481652,-18.5886704357417,5.56026430618681,-3.3431271270789,0.000828399400132654,0.021700815658377,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova","Alpova_concolor","100","100","100","100","100","100","99"
"ASV879","ASV879",12.0247124521285,-20.4811040906754,5.72917323930956,-3.57487952190875,0.000350389207206442,0.010886511182042,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Unclassified","Unclassified","100","100","100","100","100","59","58"
"ASV973","ASV973",1.44389459575949,22.017505650191,5.69671397835114,3.86494841304351,0.000111112681300472,0.00418420622536915,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae","Neopyrenochaeta","Neopyrenochaeta_acicola","100","100","100","100","93","93","63"
"ASV988","ASV988",6.37609085632591,-21.4253348010536,5.72890897975187,-3.73986301349504,0.000184120568672296,0.00599963609137041,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unclassified","100","100","100","100","100","84","42"
"ASV1012","ASV1012",4.31878385377126,21.0592896622131,3.91189367621629,5.38340031843153,7.30917325663485e-08,1.39500792440917e-05,"Fungi","Ascomycota","Sareomycetes","Sareales","Sareales_fam_Incertae_sedis","Sareales_gen_Incertae_sedis","Unclassified","100","100","98","98","98","98","98"
"ASV1045","ASV1045",5.74002829704122,-19.396436888489,4.17837477198993,-4.64210080400508,3.44884519388353e-06,0.000242508272580442,"Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Kurtzmaniella","Unclassified","100","100","100","100","64","64","64"
"ASV1048","ASV1048",7.46724369450277,23.0608580115656,4.48012707075722,5.14736694905127,2.64168249055944e-07,3.20844346126128e-05,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unclassified","100","100","100","100","100","79","36"
"ASV1139","ASV1139",5.56619120220693,-18.7139061492338,5.73280757809497,-3.26435274414923,0.00109714477821986,0.0281881812250334,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Fibulochlamys","Fibulochlamys_chilensis","100","100","100","100","100","99","99"
"ASV1162","ASV1162",5.30383641914772,22.3250172174447,5.69590786772205,3.91948355484427,8.87389156806933e-05,0.00359258155604261,"Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Linnemannia","Linnemannia_hyalina","100","100","100","100","100","100","100"
"ASV1249","ASV1249",3.81236484607573,22.6903587388745,5.6958083834994,3.98369418546591,6.78521786931965e-05,0.00292421002368099,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Unclassified","Unclassified","Unclassified","100","100","87","87","56","49","49"
"ASV1253","ASV1253",2.16360704871061,-18.2959038543454,5.73452941401211,-3.19048042715416,0.00142036461580654,0.0351408727169914,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae","Nigrograna","Unclassified","100","100","100","100","100","100","42"
"ASV1366","ASV1366",5.7844493513149,-22.21413912544,5.72866625228774,-3.87771571027878,0.000105441825990149,0.00414324351537763,"Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus","Basidioascus_magus","100","100","100","100","100","100","87"
"ASV1652","ASV1652",3.49830547316219,21.3985337871392,5.69683205298962,3.7562163651831,0.000172501571708118,0.00599963609137041,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phialophora","Unclassified","100","100","100","100","100","77","36"
"ASV1863","ASV1863",2.45887593300742,-17.7571758730663,5.73565292258832,-3.09592928873614,0.00196197142835089,0.0459858566364348,"Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothideaceae","Dothidea","Unclassified","100","100","100","100","81","81","36"
