"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Treatuntreat_EP",1,0.50723377717268,0.0156110230349114,1.31382648247198,0.0166,0.0166,0.0332,0.529
"YrSinceTrt_BR",3,1.48497507093897,0.0457027530144262,1.28211728123023,0.0011,0.0022,0.0022,0.001
