YrSinceTrt_BR,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
1-2 PT,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,0.01829858443990284,0.034605735889434414,0.007551590675856342,21,90.47619047619048
1-2 PT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,0.017313159831253495,0.05528509559639937,0.012064196922541423,21,33.33333333333333
1-2 PT,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.01595591345722096,0.019912727570974304,0.00434531339938209,21,100
1-2 PT,Fungi,Basidiomycota,GS25,GS25_ord_Incertae_sedis,GS25_ord_Incertae_sedis_fam_Incertae_sedis,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.01551302020765744,0.029754884581916215,0.006493048137681215,21,80.95238095238095
1-2 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Alpova,0.015396291809866583,0.01971107149900372,0.004301308436803391,21,80.95238095238095
1-2 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,0.014673392827389605,0.024757328334369014,0.005402491957005762,21,100
1-2 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.012465326570079155,0.01264152928460721,0.0027586078498434996,21,95.23809523809523
1-2 PT,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,0.012138324891486136,0.02216330722693171,0.00483643014371316,21,76.19047619047619
1-2 PT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Leucoscypha,0.011823277799961306,0.037595506271862776,0.008204012060999915,21,38.095238095238095
1-2 PT,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Pyrenochaeta,0.010212317310767485,0.031019923365553165,0.006769102232113177,21,76.19047619047619
1-2 PT,Fungi,Basidiomycota,Microbotryomycetes,Kriegeriales,Camptobasidiaceae,Camptobasidium,0.010122902982696398,0.04636161548129516,0.010116933918260552,21,9.523809523809524
3-4 PT,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,0.15681392059115717,0.07862362448823829,0.03931181224411914,4,100
3-4 PT,Other,Other,Other,Other,Other,Other,0.15564951573377367,NA,NA,NA,NA
3-4 PT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0.15381771599378702,0.2999952361422402,0.1499976180711201,4,100
3-4 PT,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,0.10531625700660298,0.06577044290016987,0.032885221450084934,4,100
3-4 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriales_fam_Incertae_sedis,Chaetothyriales_gen_Incertae_sedis,0.04724709185225937,0.08580712375128381,0.042903561875641906,4,100
3-4 PT,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.04141219304098664,0.05101088418134317,0.025505442090671585,4,100
3-4 PT,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,0.040268795477285665,0.02041833188016526,0.01020916594008263,4,100
3-4 PT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,0.038585627462605736,0.03420602608878331,0.017103013044391654,4,100
3-4 PT,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,0.03333421127587533,0.038707373883513405,0.019353686941756702,4,100
3-4 PT,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,0.028676282443613334,0.01653754969685744,0.00826877484842872,4,100
3-4 PT,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,0.023089397510928908,0.017232018091412383,0.008616009045706191,4,100
3-4 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Alpova,0.02131847545097619,0.03305352707699047,0.016526763538495234,4,100
3-4 PT,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Podoscyphaceae,Hypochnicium,0.020275116185667567,0.04055023237133513,0.020275116185667564,4,25
3-4 PT,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,0.01928170372835316,0.009395558096721207,0.004697779048360604,4,100
3-4 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,0.0185701631859709,0.03407905806248082,0.01703952903124041,4,100
3-4 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,0.01723158521708477,0.01577613819307378,0.00788806909653689,4,100
3-4 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Xerocomellus,0.015366420489597146,0.020169667404732153,0.010084833702366076,4,75
3-4 PT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.014777629590724225,0.015729383244116157,0.007864691622058079,4,100
3-4 PT,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.013990122260205165,0.022984107944651482,0.011492053972325741,4,75
3-4 PT,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,0.011972335900791737,0.006969399583920085,0.0034846997919600426,4,100
3-4 PT,Fungi,Basidiomycota,GS25,GS25_ord_Incertae_sedis,GS25_ord_Incertae_sedis_fam_Incertae_sedis,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.011597099711902805,0.008749042504660689,0.004374521252330344,4,75
3-4 PT,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellales_fam_Incertae_sedis,Glomerellales_gen_Incertae_sedis,0.011408339889850513,0.022816679779701025,0.011408339889850513,4,25
5-8 PT,Other,Other,Other,Other,Other,Other,0.25208619279806,NA,NA,NA,NA
5-8 PT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,0.11572653572746228,0.1972045561418583,0.07453631613717604,7,85.71428571428571
5-8 PT,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,0.07197863166653307,0.07751909122510971,0.0292994624630528,7,100
