"YrSinceTrt_BR","Kingdom","Phylum","Class","Order","Family","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster",0.0216902147345151,0.0750495818345948,0.0163771614110387,21,66.6666666666667
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",0.0202888827503886,0.0586821757005739,0.012805500575837,21,61.9047619047619
"1 to 2","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",0.0182985844399028,0.0346057358894344,0.00755159067585634,21,90.4761904761905
"1 to 2","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina",0.0173131598312535,0.0552850955963994,0.0120641969225414,21,33.3333333333333
"1 to 2","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",0.015955913457221,0.0199127275709743,0.00434531339938209,21,100
"1 to 2","Fungi","Basidiomycota","GS25","GS25_ord_Incertae_sedis","GS25_ord_Incertae_sedis_fam_Incertae_sedis","GS25_ord_Incertae_sedis_gen_Incertae_sedis",0.0155130202076574,0.0297548845819162,0.00649304813768121,21,80.952380952381
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova",0.0153962918098666,0.0197110714990037,0.00430130843680339,21,80.952380952381
"1 to 2","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",0.0146733928273896,0.024757328334369,0.00540249195700576,21,100
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",0.0124653265700792,0.0126415292846072,0.0027586078498435,21,95.2380952380952
"1 to 2","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",0.0121383248914861,0.0221633072269317,0.00483643014371316,21,76.1904761904762
"1 to 2","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Leucoscypha",0.0118232777999613,0.0375955062718628,0.00820401206099992,21,38.0952380952381
"1 to 2","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Pyrenochaeta",0.0102123173107675,0.0310199233655532,0.00676910223211318,21,76.1904761904762
"1 to 2","Fungi","Basidiomycota","Microbotryomycetes","Kriegeriales","Camptobasidiaceae","Camptobasidium",0.0101229029826964,0.0463616154812952,0.0101169339182606,21,9.52380952380952
"1 to 2","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",0.00891149837186769,0.0149936019365614,0.00327187218163472,21,90.4761904761905
"3 to 4","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",0.156813920591157,0.0786236244882383,0.0393118122441191,4,100
"3 to 4","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",0.153817715993787,0.29999523614224,0.14999761807112,4,100
"3 to 4","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",0.105316257006603,0.0657704429001699,0.0328852214500849,4,100
"3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis",0.0472470918522594,0.0858071237512838,0.0429035618756419,4,100
"3 to 4","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",0.0414121930409866,0.0510108841813432,0.0255054420906716,4,100
"3 to 4","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium",0.0402687954772857,0.0204183318801653,0.0102091659400826,4,100
"3 to 4","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",0.0385856274626057,0.0342060260887833,0.0171030130443917,4,100
"3 to 4","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",0.0333342112758753,0.0387073738835134,0.0193536869417567,4,100
"3 to 4","Other","Other","Other","Other","Other","Other",0.0315724032409663,NA,NA,NA,NA
"3 to 4","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_gen_Incertae_sedis",0.0286762824436133,0.0165375496968574,0.00826877484842872,4,100
"3 to 4","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",0.0230893975109289,0.0172320180914124,0.00861600904570619,4,100
"3 to 4","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova",0.0213184754509762,0.0330535270769905,0.0165267635384952,4,100
"3 to 4","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Podoscyphaceae","Hypochnicium",0.0202751161856676,0.0405502323713351,0.0202751161856676,4,25
"3 to 4","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",0.0192817037283532,0.00939555809672121,0.0046977790483606,4,100
"3 to 4","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",0.0185701631859709,0.0340790580624808,0.0170395290312404,4,100
"3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",0.0172315852170848,0.0157761381930738,0.00788806909653689,4,100
"3 to 4","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus",0.0153664204895971,0.0201696674047322,0.0100848337023661,4,75
"3 to 4","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",0.0147776295907242,0.0157293832441162,0.00786469162205808,4,100
"3 to 4","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",0.0139901222602052,0.0229841079446515,0.0114920539723257,4,75
"3 to 4","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",0.0119723359007917,0.00696939958392009,0.00348469979196004,4,100
"3 to 4","Fungi","Basidiomycota","GS25","GS25_ord_Incertae_sedis","GS25_ord_Incertae_sedis_fam_Incertae_sedis","GS25_ord_Incertae_sedis_gen_Incertae_sedis",0.0115970997119028,0.00874904250466069,0.00437452125233034,4,75
"3 to 4","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellales_fam_Incertae_sedis","Glomerellales_gen_Incertae_sedis",0.0114083398898505,0.022816679779701,0.0114083398898505,4,25
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",0.115726535727462,0.197204556141858,0.074536316137176,7,85.7142857142857
"5 to 8","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",0.0719786316665331,0.0775190912251097,0.0292994624630528,7,100
"5 to 8","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",0.0634427579851695,0.102490199176067,0.038737654120193,7,57.1428571428571
"5 to 8","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",0.050179436074632,0.0647088566776701,0.0244576489132052,7,100
"5 to 8","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",0.0438157082599891,0.0556323328080554,0.0210270453520706,7,100
"5 to 8","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",0.0435669464825136,0.034863668313182,0.0131772280211603,7,85.7142857142857
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Melanogaster",0.0356697984401475,0.0841275463992595,0.0317972237403554,7,85.7142857142857
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae","Botryobasidium",0.0349349662657371,0.0905642345793486,0.0342300631962675,7,57.1428571428571
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Pseudotomentella",0.0344629713341318,0.0876617593828286,0.0331330306881925,7,28.5714285714286
"5 to 8","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium",0.0336883627665426,0.051512899070679,0.0194700457504267,7,100
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",0.0318768586087915,0.0838960585998557,0.0317097295762457,7,57.1428571428571
"5 to 8","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella",0.0273133039080368,0.0256199401514106,0.00968342717785585,7,85.7142857142857
"5 to 8","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",0.0241567868782133,0.0190447045114926,0.00719822170430277,7,100
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",0.0230931970550001,0.0441700952425018,0.0166947267710996,7,42.8571428571429
"5 to 8","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia",0.0214111126251697,0.0480672510735914,0.0181677132210322,7,100
"5 to 8","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",0.0187871274655447,0.0414838196229965,0.0156794100222157,7,100
"5 to 8","Other","Other","Other","Other","Other","Other",0.0183788401993462,NA,NA,NA,NA
"5 to 8","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Scutellinia",0.0177459672595243,0.0373839926225058,0.0141298210705463,7,42.8571428571429
"5 to 8","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_gen_Incertae_sedis",0.0168154738572915,0.0178285538972366,0.00673855997828565,7,100
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",0.0141352636714774,0.0252608836151193,0.00954771656333597,7,71.4285714285714
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",0.0139833120011052,0.0338916969600111,0.012809857380879,7,28.5714285714286
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",0.0111292888689268,0.0125810716829074,0.00475519812852142,7,100
"5 to 8","Fungi","Basidiomycota","GS25","GS25_ord_Incertae_sedis","GS25_ord_Incertae_sedis_fam_Incertae_sedis","GS25_ord_Incertae_sedis_gen_Incertae_sedis",0.0095954476371015,0.0130692120785996,0.00493969785593373,7,85.7142857142857
"5 to 8","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",0.00951475095362805,0.00987194169440589,0.00373124324010394,7,100
"5 to 8","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",0.00951100819950756,0.0111594510956583,0.00421787605244275,7,100
"5 to 8","Fungi","Basidiomycota","Agaricomycetes","Boletales","Melanogastraceae","Alpova",0.00899025721329755,0.0180703280214312,0.00682994200772411,7,85.7142857142857
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",0.155542366476599,0.177340188579735,0.0670282909198965,7,85.7142857142857
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",0.134199560232474,0.185665345160433,0.0701749043396392,7,85.7142857142857
"10 to 12","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber",0.0506434063667601,0.0793633628576798,0.029996531618743,7,100
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hymenogastraceae","Phaeocollybia",0.0491370910774931,0.12918056225269,0.0488256631348736,7,28.5714285714286
"10 to 12","Other","Other","Other","Other","Other","Other",0.0436622962371177,NA,NA,NA,NA
"10 to 12","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",0.0372377567639242,0.0297074234440487,0.0112283506464918,7,100
"10 to 12","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis",0.0312287495273041,0.0141671625213865,0.00535468411643192,7,100
"10 to 12","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",0.0270138743163217,0.0114794018039867,0.00433880605330501,7,100
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella",0.0255504739772151,0.0670482292295179,0.0253418486269366,7,71.4285714285714
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora",0.024134247249241,0.0623497238535661,0.0235659805185839,7,28.5714285714286
"10 to 12","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium",0.0231322300544876,0.0164956429822586,0.00623476700673771,7,100
"10 to 12","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora",0.0201033202052674,0.0242739216642147,0.00917468000968218,7,100
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",0.0184044433797149,0.02942634708242,0.0111221137675935,7,57.1428571428571
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",0.0183236886826224,0.0266386450497148,0.0100684614378953,7,71.4285714285714
"10 to 12","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Geoglossum",0.016922022630976,0.0330182461719748,0.0124797240140794,7,42.8571428571429
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Atheliales","Pilodermataceae","Piloderma",0.0166785135053928,0.0436705223055268,0.0165059059492461,7,42.8571428571429
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",0.0161760633448603,0.0164745407988352,0.00622679113110077,7,85.7142857142857
"10 to 12","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Wilcoxina",0.0156556573035884,0.037167022946501,0.0140478142412961,7,57.1428571428571
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",0.0141231858291833,0.0126748683943976,0.00479064995314979,7,100
"10 to 12","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",0.0137862904431291,0.00939908456317101,0.00355252004368809,7,100
"10 to 12","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Podila",0.0137608191387294,0.0166943629253297,0.006309876085297,7,85.7142857142857
"10 to 12","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_fam_Incertae_sedis","Saccharomycetales_gen_Incertae_sedis",0.0113681752817075,0.00722351177279726,0.00273023082048127,7,100
"10 to 12","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena",0.0110574783676125,0.0284672508098604,0.0107596094503704,7,42.8571428571429
"10 to 12","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma",0.00845255560457813,0.00587551822238063,0.00222073714857821,7,100
"10 to 12","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala",0.00840897332147643,0.00946231310028384,0.00357641818439709,7,71.4285714285714
