"","Kingdom","Phylum","Class","Order","Family","Abundance","Prevalence","Total_Abundance","Percentage"
"50","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neophaeosphaeriaceae",124,1,3785746,0.00327544425854244
"51","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Neopyrenochaetaceae",6363,46,3785746,0.168077837234722
"52","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Nigrogranaceae",3883,44,3785746,0.102568952063873
"53","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae",519,18,3785746,0.0137093191143833
"54","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",692,18,3785746,0.018279092152511
"55","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomassariaceae",4817,30,3785746,0.127240443495153
"56","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleomonodictydaceae",1556,1,3785746,0.041101542470097
"57","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",2383,39,3785746,0.0629466424847309
"58","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_fam_Incertae_sedis",3780,24,3785746,0.0998482201394388
"59","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Roussoellaceae",74,4,3785746,0.00195470060590436
"60","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae",47,4,3785746,0.0012414990334798
"61","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae",143,4,3785746,0.00377732684654491
"62","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae",2605,36,3785746,0.068810744302444
"63","Fungi","Ascomycota","Dothideomycetes","Venturiales","Cylindrosympodiaceae",399,8,3785746,0.0105395343480519
"64","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",1925,34,3785746,0.0508486306265661
"65","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae",32095,63,3785746,0.847785350628383
"66","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiales_fam_Incertae_sedis",364,8,3785746,0.00961501379120522
"67","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis",10536,67,3785746,0.278307102483896
"68","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae",622,8,3785746,0.0164300510388177
"69","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Epibryaceae",28,1,3785746,0.000739616445477325
"70","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae",122269,95,3785746,3.22972011328811
"71","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Paracladophialophoraceae",581,4,3785746,0.0153470412436545
"72","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae",522,5,3785746,0.0137885637335416
"73","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae",16,2,3785746,0.000422637968844186
"74","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae",18887,74,3785746,0.498897707347508
"75","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Elaphomycetaceae",1533,13,3785746,0.0404940003898835
"76","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Eurotiales_fam_Incertae_sedis",2377,35,3785746,0.0627881532464143
"77","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Penicillaginaceae",686,11,3785746,0.0181206029141945
"78","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae",50467,91,3785746,1.33307939835372
"79","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae",33,3,3785746,0.000871690810741133
"80","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae",1719,31,3785746,0.0454071667776972
"81","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis",1756,13,3785746,0.0463845170806494
"82","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae",115,3,3785746,0.00303771040106758
"83","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Dactylosporaceae",56,3,3785746,0.00147923289095465
"84","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcaceae",7971,55,3785746,0.210552953103563
"85","Fungi","Ascomycota","Eurotiomycetes","Sclerococcales","Sclerococcales_fam_Incertae_sedis",413,20,3785746,0.0109093425707905
"86","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae",14056,9,3785746,0.371287455629617
"87","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariales_fam_Incertae_sedis",123,7,3785746,0.00324902938548968
"88","Fungi","Ascomycota","GS35","GS35_ord_Incertae_sedis","GS35_ord_Incertae_sedis_fam_Incertae_sedis",17,1,3785746,0.000449052841896947
"89","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae",24476,28,3785746,0.646530432839393
"90","Fungi","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossales_fam_Incertae_sedis",236,3,3785746,0.00623391004045174
"91","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae",68,1,3785746,0.00179621136758779
"92","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophorales_fam_Incertae_sedis",48,5,3785746,0.00126791390653256
"93","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae",24,2,3785746,0.000633956953266278
"94","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporales_fam_Incertae_sedis",114,6,3785746,0.00301129552801482
"95","Fungi","Ascomycota","Lecanoromycetes","GS36","GS36_fam_Incertae_sedis",55,6,3785746,0.00145281801790189
"96","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanorales_fam_Incertae_sedis",11,1,3785746,0.000290563603580378
"97","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Ramalinaceae",13,1,3785746,0.000343393349685901
"98","Fungi","Ascomycota","Lecanoromycetes","Lecanoromycetes_ord_Incertae_sedis","Lecanoromycetes_fam_Incertae_sedis",532,23,3785746,0.0140527124640692
"99","Fungi","Ascomycota","Lecanoromycetes","Lecanoromycetes_ord_Incertae_sedis","Micropeltidaceae",263,7,3785746,0.0069471116128763
"100","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Ostropales_fam_Incertae_sedis",584,11,3785746,0.0154262858628128
"101","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae",18,2,3785746,0.000475467714949709
"102","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Pannariaceae",479,23,3785746,0.0126527241922728
"103","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Megasporaceae",37,1,3785746,0.000977350302952179
