"Factor","Df","SumOfSqs","R2","F","pr_f","FDR_adj_p","Bonferroni_adj_p","P_Value_BetaDispersion"
"Fire_Mod",1,1.01606308712106,0.0263950221855129,2.63356870975914,1e-04,4e-04,4e-04,0.052
"Treatuntreat_EP",1,0.673377826391031,0.0174928337542352,1.74535104749627,2e-04,4e-04,8e-04,0.527
"YrSinceTrt_BR",3,1.40008981232571,0.0363711684111643,1.20964690983281,0.0085,0.0113333333333333,0.034,NA
"YrSinceTrt_BR:Fire_Mod",2,0.681862593587095,0.0177132488261118,0.883671503072836,0.8692,0.8692,1,NA
