"Fire_Mod","Genus","Mean_Relative_Abundance","Standard_Deviation","Standard_Error","Sample_Size","Prevalence_Percent"
"Unmitigated","Russula",0.178447136060249,0.211993964644396,0.0316021943843038,45,97.7777777777778
"Unmitigated","Mortierella",0.0705026605539743,0.079633659518746,0.0118710850653993,45,100
"Unmitigated","Podila",0.060747824482812,0.048602124668588,0.00724517697399214,45,100
"Unmitigated","Saitozyma",0.0497286295215985,0.0395615465167996,0.00589748715377226,45,100
"Unmitigated","Inocybe",0.0453519029707776,0.074780599642246,0.0111476336132172,45,91.1111111111111
"Unmitigated","Rhizopogon",0.0405499999446726,0.123865387583395,0.0184647617797219,45,97.7777777777778
"Unmitigated","Amanita",0.0366877673783319,0.093917428642924,0.0140003836478376,45,55.5555555555556
"Unmitigated","Sebacina",0.036619687158253,0.0714640243857171,0.0106532277648111,45,82.2222222222222
"Unmitigated","Umbelopsis",0.0356377251244719,0.027171365548576,0.00405046802720745,45,97.7777777777778
"Unmitigated","Geminibasidium",0.034202514609336,0.0350177785972389,0.00522014222429757,45,100
"Unmitigated","Saccharomycetales_gen_Incertae_sedis",0.0266549158312461,0.0255939498410062,0.00381532077714732,45,100
"Unmitigated","Other",0.0261722445021664,NA,NA,NA,NA
"Unmitigated","Lactarius",0.0228356382783361,0.0443538925779085,0.00661188792472845,45,80
"Unmitigated","Hygrophorus",0.0173181084233282,0.116008218672564,0.0172934841933676,45,8.88888888888889
"Unmitigated","Byssocorticium",0.0147596966699914,0.035935728501034,0.00535698211661924,45,48.8888888888889
"Unmitigated","Melanogaster",0.0145868429953904,0.0265942162218671,0.0039644316853615,45,100
"Unmitigated","Solicoccozyma",0.0144488545806112,0.0139290014391627,0.00207641293844402,45,100
"Unmitigated","Tomentella",0.0133746536709845,0.0240195622104372,0.00358062492615484,45,97.7777777777778
"Unmitigated","Cortinarius",0.0126941399671385,0.0268116806709756,0.00399684937142123,45,80
"Unmitigated","Oidiodendron",0.0120739631260477,0.0125617267181497,0.00187259165710387,45,97.7777777777778
"Unmitigated","Tuber",0.0102115205301289,0.0196806917350289,0.00293382430424953,45,62.2222222222222
"Unmitigated","Clavulina",0.0101549784931353,0.0361989672058382,0.00539622342583599,45,42.2222222222222
"Unmitigated","Sagenomella",0.00931759307756947,0.0104630859139277,0.00155974475719752,45,95.5555555555556
"Unmitigated","Alpova",0.00920074841117931,0.0151391999030334,0.00225681867387606,45,82.2222222222222
"Mitigated","Russula",0.0960368654886977,0.177954504084418,0.0284955262003377,39,92.3076923076923
"Mitigated","Saitozyma",0.077368880744155,0.0893927976778907,0.0143143036556323,39,100
"Mitigated","Inocybe",0.0604645385656884,0.124309227670554,0.0199054071278221,39,92.3076923076923
"Mitigated","Umbelopsis",0.0587226707318011,0.058572565791408,0.00937911682380517,39,100
"Mitigated","Podila",0.0483400320256169,0.0494539498523353,0.00791896968822381,39,97.4358974358974
"Mitigated","Mortierella",0.0417993825892064,0.0430596072614818,0.00689505541435321,39,97.4358974358974
"Mitigated","Geminibasidium",0.0391572831111906,0.0504000308495428,0.00807046389165672,39,100
"Mitigated","Saccharomycetales_gen_Incertae_sedis",0.0232009608923759,0.0223185183058451,0.00357382313198002,39,100
"Mitigated","Tuber",0.0227441740693695,0.0591423154264434,0.0094703497809945,39,48.7179487179487
"Mitigated","Oidiodendron",0.0196493460516662,0.0235118839710004,0.00376491457275571,39,100
"Mitigated","Melanogaster",0.019572626246444,0.0650845733926597,0.0104218725785583,39,74.3589743589744
"Mitigated","Solicoccozyma",0.0188896815008721,0.022931306277703,0.00367194773858759,39,100
"Mitigated","Sagenomella",0.0180325411283862,0.028023979380861,0.0044874280805291,39,92.3076923076923
"Mitigated","Other",0.0177771546742494,NA,NA,NA,NA
"Mitigated","Sebacina",0.0173496730926107,0.0520460753953309,0.00833404196585471,39,64.1025641025641
"Mitigated","Amanita",0.0167067163297945,0.055245653668747,0.00884638452773169,39,48.7179487179487
"Mitigated","Clavulina",0.0161592936935735,0.0728047535293973,0.0116580907708968,39,23.0769230769231
"Mitigated","Cladophialophora",0.0149844638039946,0.0214845784361984,0.00344028588026903,39,100
"Mitigated","Rhizopogon",0.0127602486979828,0.0124623104661699,0.0019955667670936,39,97.4358974358974
"Mitigated","Alpova",0.0125728570933057,0.0194185414328972,0.00310945518923742,39,76.9230769230769
"Mitigated","Wilcoxina",0.0121324604508062,0.0434338114148277,0.00695497603457467,39,28.2051282051282
"Mitigated","Tomentella",0.0120961273616274,0.0204681529477847,0.00327752754332891,39,74.3589743589744
